area_type,availability,location,size,total_sqft,bath,balcony,price
3,Ready To Move,Kaggadasapura,2 BHK,1325,2.0,2.0,50.0
3,Ready To Move,Sonnenahalli,2 BHK,1100,2.0,1.0,44.0
3,Ready To Move,Cunningham Road,3 BHK,3875,3.0,2.0,800.0
3,Ready To Move,Gollarapalya Hosahalli,3 BHK,1605,3.0,2.0,50.0
3,Ready To Move,Hennur Road,5 BHK,5600,5.0,3.0,515.0
3,Ready To Move,Somasundara Palya,2 BHK,1260,2.0,1.0,60.0
3,19-Dec,Hoodi,3 BHK,1553,3.0,2.0,83.09
3,Ready To Move,Whitefield,2 BHK,1280,2.0,2.0,52.0
3,Ready To Move,Hebbal,3 BHK,1550,2.0,2.0,75.0
3,Ready To Move,Arekere,3 BHK,1445,2.0,2.0,125.0
3,Ready To Move,Murugeshpalya,3 BHK,1550,3.0,2.0,74.0
3,Ready To Move,Electronics City Phase 1,3 BHK,1515,2.0,1.0,80.91
3,19-Mar,Hosa Road,3 BHK,1332,2.0,1.0,86.12
3,Ready To Move,Electronic City,3 BHK,1652,3.0,2.0,70.0
3,Ready To Move,Hegde Nagar,3 BHK,1570,3.0,1.0,105.0
2,Ready To Move,Sarjapur  Road,4 Bedroom,5400,4.0,3.0,725.0
3,Ready To Move,Sector 2 HSR Layout,1 BHK,794,1.0,1.0,60.0
2,Ready To Move,Seegehalli,3 Bedroom,1200,2.0,0.0,62.0
0,Ready To Move,7th Phase JP Nagar,4 Bedroom,3600,3.0,2.0,410.0
2,Ready To Move,Hosakerehalli,3 Bedroom,1200,3.0,2.0,175.0
3,Ready To Move,JP Nagar,4 BHK,1650,3.0,1.0,220.0
2,Ready To Move,Chandra Layout,4 Bedroom,600,2.0,1.0,85.0
3,Ready To Move,HRBR Layout,3 BHK,2800,3.0,2.0,250.0
3,Ready To Move,Sarjapur  Road,3 BHK,1750,3.0,2.0,110.0
0,Ready To Move,Hebbal,2 BHK,1053,2.0,1.0,48.0
3,21-Dec,Kanakpura Road,3 BHK,1100,3.0,2.0,53.0
3,Ready To Move,Kadubeesanahalli,3 BHK,1665,3.0,3.0,70.0
2,Ready To Move,Outer Ring Road East,4 Bedroom,4051,4.0,3.0,345.0
2,Ready To Move,Malleshwaram,4 Bedroom,5500,5.0,1.0,1500.0
0,Ready To Move,Bommasandra,3 BHK,1447,3.0,2.0,80.0
0,Ready To Move,Balagere,2 BHK,1012,2.0,1.0,75.0
3,Ready To Move,Malleshpalya,3 BHK,1900,3.0,2.0,60.0
3,Ready To Move,Narayanapura,2 BHK,1308,2.0,2.0,92.66
3,Ready To Move,Green Glen Layout,4 BHK,3250,4.0,2.0,230.0
3,Ready To Move,Hormavu,1 BHK,1351,2.0,1.0,53.0
3,Ready To Move,Electronic City,2 BHK,1000,2.0,2.0,22.0
2,Ready To Move,J P Nagar 7th Phase Ramayya City,4 Bedroom,1200,4.0,2.0,350.0
3,18-Aug,Gunjur,2 BHK,1140,2.0,2.0,49.11
3,22-May,Jakkur,4 BHK,2249.81 - 4112.19,4.0,0.0,260.5
0,Ready To Move,Uttarahalli,3 BHK,1250,2.0,1.0,55.0
3,Ready To Move,Kanakapura,3 BHK,1290,3.0,3.0,45.15
3,Ready To Move,Ambedkar Nagar,2 BHK,1424,2.0,2.0,90.0
3,Ready To Move,Garudachar Palya,3 BHK,1320,2.0,2.0,60.6
0,Ready To Move,Akshaya Nagar,3 BHK,1662,3.0,2.0,85.5
3,Ready To Move,Shanthala Nagar,5 BHK,8321,5.0,3.0,2700.0
3,Ready To Move,Begur Road,2 BHK,1200,2.0,2.0,45.0
0,Ready To Move,Koramangala,3 BHK,1975,3.0,2.0,210.0
3,Ready To Move,Garudachar Palya,3 BHK,1295,2.0,2.0,59.5
3,Ready To Move,Battarahalli,3 BHK,1777,3.0,2.0,100.0
3,18-Apr,Kadugodi,3 BHK,1900,3.0,2.0,108.0
3,17-Jul,Anandapura,3 BHK,1576,3.0,2.0,59.1
3,Ready To Move,Sompura,2 BHK,1020,2.0,3.0,41.0
3,Ready To Move,Green Domain Layout,3 BHK,2100,3.0,3.0,170.0
3,18-Aug,Raja Rajeshwari Nagar,1 BHK,648,1.0,1.0,31.75
3,Ready To Move,Neeladri Nagar,3 BHK,1167,2.0,1.0,38.0
2,Ready To Move,Vyalikaval,7 Bedroom,1000,7.0,3.0,160.0
3,Ready To Move,Hoodi,2 BHK,1220,2.0,2.0,50.89
3,Ready To Move,Kogilu,3 BHK,2350,5.0,1.0,327.0
3,Ready To Move,Vittasandra,2 BHK,1259,2.0,1.0,67.4
0,Ready To Move,Gottigere,4 Bedroom,2000,4.0,2.0,82.0
3,Ready To Move,8th Phase JP Nagar,3 BHK,1800,3.0,1.0,80.0
0,Ready To Move,Cleveland Town,3 BHK,1991,3.0,2.0,160.0
3,Ready To Move,Bannerghatta,3 BHK,1665,3.0,3.0,110.0
0,20-Dec,"Hoodi Circle, ",2 BHK,1234,2.0,1.0,61.0
3,Ready To Move,Mysore Road,3 BHK,1340,2.0,2.0,64.31
3,Ready To Move,Banashankari,2 BHK,1170,2.0,2.0,46.79
0,Ready To Move,Electronics City Phase 1,2 BHK,995,2.0,0.0,46.0
3,Ready To Move,Old Airport Road,2 BHK,1075,2.0,2.0,60.0
3,18-Apr,Electronic City,2 BHK,1025,2.0,1.0,54.5
3,Ready To Move,Rachenahalli,3 BHK,2721,3.0,2.0,113.0
3,Ready To Move,Thanisandra,3 BHK,2000,3.0,2.0,99.0
3,Ready To Move,Whitefield,4 BHK,2500,4.0,3.0,155.0
3,Ready To Move,Mallasandra,2 BHK,1325,2.0,2.0,70.0
3,18-Apr,Kadugodi,2 BHK,1314,2.0,3.0,68.2
3,21-Feb,Kanakpura Road,3 BHK,2265,3.0,2.0,136.0
0,Ready To Move,7th Phase JP Nagar,7 Bedroom,4800,7.0,0.0,170.0
3,21-Dec,Yelahanka,2 BHK,1026,2.0,1.0,41.0
0,Ready To Move,Syndicate Bank Colony,3 BHK,1200,3.0,2.0,66.0
0,Ready To Move,Kada Agrahara,3 BHK,2220,4.0,2.0,65.0
3,18-Sep,KR Puram,2 BHK,1070 - 1315,2.0,0.0,51.22
3,18-Dec,Hebbal,2 BHK,1420,2.0,1.0,99.39
3,Ready To Move,Sarjapur  Road,3 BHK,1888,4.0,1.0,95.0
3,18-May,JP Nagar,2 BHK,1300,2.0,1.0,90.87
3,18-May,Rajaji Nagar,2 BHK,1216,2.0,0.0,97.16
2,19-Dec,"Off Sarjapur road, ",4 Bedroom,3000,4.0,3.0,342.0
0,Ready To Move,Begur,3 BHK,1559,3.0,2.0,63.0
3,Ready To Move,Harlur,2 BHK,1290,2.0,1.0,87.0
2,Ready To Move,M C Layout,6 Bedroom,2400,6.0,2.0,245.0
0,18-Jun,Whitefield,1 BHK,905,1.0,1.0,55.0
0,Ready To Move,Nanjappa Layout,2 BHK,1069,2.0,2.0,55.0
3,19-Aug,Sarjapura - Attibele Road,2 BHK,829,2.0,1.0,22.8
0,Ready To Move,Koramangala,2 BHK,1900,2.0,1.0,200.0
0,Ready To Move,Dodda Banaswadi,5 Bedroom,3040Sq. Meter,5.0,1.0,140.0
0,Ready To Move,Sarjapur  Road,3 BHK,1300,3.0,2.0,60.0
3,Ready To Move,Channasandra,2 BHK,1115,2.0,1.0,33.45
3,Ready To Move,Rajaji Nagar,3 BHK,2409,3.0,2.0,360.0
3,Ready To Move,Ambedkar Nagar,3 BHK,2150,4.0,2.0,125.0
3,19-Mar,Marathahalli,3 BHK,1305,2.0,1.0,69.0
3,20-Dec,Kanakpura Road,2 BHK,1252,2.0,1.0,56.32
2,Ready To Move,Hosakerehalli,5 Bedroom,2400,5.0,2.0,250.0
2,18-Sep,Whitefield,2 Bedroom,1200,2.0,1.0,46.13
0,Ready To Move,Koramangala,3 BHK,1750,3.0,1.0,130.0
3,Ready To Move,Electronic City Phase II,2 BHK,545,1.0,1.0,35.0
2,Ready To Move,BEL Layout,2 Bedroom,1375,2.0,1.0,105.0
3,Ready To Move,Subramanyapura,2 BHK,1313,2.0,2.0,66.5
2,Ready To Move,Attibele,4 Bedroom,3640,4.0,1.0,275.0
3,20-Dec,Akshayanagara East,3 BHK,1693,3.0,2.0,108.0
3,Ready To Move,JCR Layout,2 BHK,1160,2.0,1.0,41.75
2,Ready To Move,Sri Kanteshwara Nagar,3 Bedroom,1200,3.0,0.0,200.0
3,Ready To Move,Subramanyapura,3 BHK,1255,2.0,2.0,79.0
2,Ready To Move,KR Puram,4 Bedroom,1000,4.0,1.0,75.0
0,Ready To Move,Bellari Road,2 BHK,900,2.0,1.0,45.0
3,Ready To Move,Yelahanka New Town,3 BHK,1700,3.0,2.0,90.0
1,Ready To Move,Indira Nagar,3 BHK,1875,3.0,1.0,180.0
1,Ready To Move,Uttarahalli,3 BHK,1700,3.0,2.0,88.0
3,Ready To Move,Harlur,3 BHK,1749,3.0,2.0,115.0
2,Ready To Move,Dasanapura,2 Bedroom,1500,3.0,1.0,65.0
3,Ready To Move,Varanasi,2 BHK,1175,2.0,1.0,48.0
0,Ready To Move,Akshaya Nagar,2 BHK,1280,2.0,1.0,60.0
0,Ready To Move,Abbaiah Reddy Layout,2 BHK,1200,2.0,2.0,50.0
3,Ready To Move,Ramagondanahalli,3 BHK,1610,2.0,2.0,115.0
3,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,46.0
2,Ready To Move,TC Palaya,2 Bedroom,1200,2.0,0.0,66.0
3,19-Dec,9th Phase JP Nagar,2 BHK,1127,2.0,1.0,50.0
0,Ready To Move,Indira Nagar,2 BHK,1210,2.0,1.0,102.0
0,Ready To Move,Jyothi Nagar,2 BHK,600,2.0,1.0,23.0
3,Ready To Move,Thigalarapalya,4 BHK,4190,4.0,3.0,380.0
3,Ready To Move,Tata Nagar,2 BHK,1364,2.0,2.0,70.0
3,Ready To Move,Whitefield,4 BHK,2268,3.0,0.0,146.0
3,Ready To Move,RK Layout 2nd Stage,3 BHK,1150,2.0,2.0,77.5
3,Ready To Move,Tirumanahalli,2 BHK,1146,2.0,1.0,39.5
0,Ready To Move,Magadi Road,2 BHK,1345,2.0,2.0,55.0
3,Ready To Move,Mylasandra,2 BHK,1110,2.0,2.0,41.0
0,Ready To Move,Kengeri,2 BHK,750,2.0,1.0,36.0
0,Ready To Move,Motappa Layout,2 BHK,1156,2.0,2.0,49.5
3,Ready To Move,Pattandur Agrahara,2 BHK,1247,2.0,1.0,59.8
3,Ready To Move,Mangammanapalya,2 BHK,1058,2.0,2.0,60.0
3,Ready To Move,Kaggalipura,2 BHK,950,2.0,1.0,48.0
3,Ready To Move,Vasanthapura,2 BHK,420,2.0,0.0,35.0
2,Ready To Move,BTM 1st Stage,4 Bedroom,600,2.0,2.0,90.0
3,21-Jun,Vijayanagar,3 BHK,1520,2.0,1.0,103.0
3,Ready To Move,Marathahalli,2 BHK,1215,2.0,2.0,58.86
0,Ready To Move,Raghuvanahalli,1 BHK,900,1.0,1.0,30.0
3,Ready To Move,Hennur Road,3 BHK,2350,3.0,2.0,174.0
3,Ready To Move,Thanisandra,2 BHK,1050,2.0,2.0,46.0
3,Ready To Move, Devarabeesana Halli,3 BHK,1672,3.0,2.0,150.0
2,Ready To Move,Laggere,5 Bedroom,2800,5.0,2.0,125.0
3,Ready To Move,MCECHS  layout,3 BHK,1500,2.0,2.0,65.0
3,Ready To Move,Geddalahalli,2 BHK,1400,2.0,2.0,65.0
2,18-May,Whitefield,4 Bedroom,500Sq. Yards,4.0,2.0,378.0
0,Ready To Move,8th Phase JP Nagar,4 Bedroom,2700,4.0,2.0,130.0
3,18-May,Bommasandra,2 BHK,920,2.0,1.0,37.46
2,18-Feb,Sarjapur  Road,3 Bedroom,1200,3.0,2.0,70.0
0,Ready To Move,Brindavan Nagar,3 BHK,1250,3.0,2.0,139.0
3,18-Mar,Hosakerehalli,3 BHK,1817,4.0,2.0,153.0
2,Ready To Move,Cooke Town,5 Bedroom,2043,6.0,2.0,375.0
3,Ready To Move,HSR Layout,2 BHK,1140,2.0,2.0,46.0
0,Ready To Move,Yelahanka,4 Bedroom,4346,4.0,1.0,450.0
3,Ready To Move,Haralur Road,2 BHK,1464,2.0,2.0,56.0
3,Ready To Move,Ambedkar Colony,2 BHK,1468,3.0,2.0,130.0
3,Ready To Move,Electronics City Phase 1,3 BHK,1555,2.0,1.0,82.0
2,Ready To Move,Munnekollal,6 Bedroom,1200,4.0,2.0,110.0
0,Ready To Move,Whitefield,2 BHK,1150,2.0,0.0,55.0
3,19-Oct,Kadubeesanahalli,2 BHK,970,2.0,1.0,35.0
3,18-May,Banashankari,4 BHK,2500,4.0,3.0,95.0
3,Ready To Move,Seetharampalya,2 BHK,1166,2.0,1.0,53.0
2,Ready To Move,Konanakunte,3 Bedroom,2779,3.0,1.0,317.0
3,Ready To Move,Electronic City,3 BHK,1350,3.0,2.0,58.0
0,Ready To Move,Mariyannapalya,2 BHK,900,2.0,3.0,46.0
3,Ready To Move,7th Phase JP Nagar,3 BHK,1300,2.0,2.0,52.0
0,Ready To Move,Kanaka Nagar,3 BHK,1190,3.0,1.0,55.0
3,Ready To Move,Kodichikkanahalli,3 BHK,1495,2.0,2.0,75.0
0,Ready To Move,Indira Nagar,2 BHK,1224,2.0,2.0,105.0
3,Ready To Move,Banashankari Stage III,3 BHK,1350,2.0,2.0,68.0
0,Ready To Move,Green Glen Layout,2 BHK,940,2.0,1.0,56.8
3,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1100,2.0,1.0,55.0
3,Ready To Move,Kaikondrahalli,2 BHK,1300,2.0,2.0,61.0
0,Ready To Move,Palace Road,3 BHK,1480,2.0,0.0,145.0
3,Ready To Move,Hoodi,2 BHK,1105,2.0,2.0,46.37
2,17-Jun,Sarjapur  Road,3 Bedroom,2600,3.0,2.0,200.0
3,21-Mar,Yelahanka,3 BHK,1517,3.0,2.0,76.3
0,Ready To Move,Horamavu Banaswadi,6 Bedroom,3800,8.0,0.0,200.0
3,Ready To Move,Jalahalli,3 BHK,1615,3.0,2.0,89.75
3,Ready To Move,MCECHS  layout,3 BHK,1500,3.0,2.0,65.0
3,Ready To Move,Mysore Road,3 BHK,1082,3.0,1.0,50.5
3,Ready To Move,Marathahalli,2 BHK,1365,2.0,2.0,73.0
3,Ready To Move,Electronic City,2 BHK,1000,2.0,3.0,25.0
3,Ready To Move,CV Raman Nagar,2 BHK,1392,2.0,1.0,98.0
3,18-Apr,Kodigehalli,2 BHK,1086,2.0,1.0,33.66
3,Ready To Move,Hennur Road,3 BHK,1586,3.0,3.0,93.94
0,Ready To Move,Hennur,2 BHK,1100,2.0,1.0,60.0
3,18-May,Electronic City Phase II,2 BHK,1065,2.0,1.0,30.75
2,Ready To Move,TC Palaya,3 Bedroom,1500,2.0,1.0,120.0
0,Ready To Move,7th Phase JP Nagar,3 BHK,1575,2.0,2.0,120.0
3,Ready To Move,Hennur Road,3 BHK,1975,3.0,3.0,123.0
3,Ready To Move,Nelamangala,2 BHK,820,2.0,2.0,24.0
3,Ready To Move,Gubbalala,3 BHK,1745,3.0,2.0,110.0
3,Ready To Move,Nagarbhavi,2 BHK,1223,2.0,1.0,60.0
3,Ready To Move,Ananth Nagar,3 BHK,1200,2.0,1.0,65.0
3,Ready To Move,Basaveshwara Nagar,2 BHK,1200,2.0,0.0,90.0
3,19-Dec,Binny Pete,1 BHK,665,1.0,1.0,46.08
3,Ready To Move,Bharathi Nagar,2 BHK,1351,2.0,2.0,70.0
3,18-Dec,Hebbal,3 BHK,1355,3.0,1.0,83.87
0,Ready To Move,Sector 7 HSR Layout,3 BHK,3900,3.0,2.0,300.0
3,18-Nov,Thanisandra,3 BHK,1588,3.0,1.0,75.55
1,Ready To Move,Amruthahalli,2 BHK,900,2.0,1.0,60.0
2,Ready To Move,Bhuvaneshwari Nagar,3 Bedroom,440,3.0,0.0,50.0
0,18-Feb,Harlur,4 Bedroom,3385,4.0,2.0,260.0
3,Ready To Move,Panathur,3 BHK,1370,2.0,2.0,75.0
2,18-Dec,Whitefield,3 Bedroom,1500,3.0,1.0,71.8
3,Ready To Move,Pulikeshi Nagar,3 BHK,2280,3.0,2.0,285.0
3,21-Dec,Kanakpura Road,3 BHK,1100,3.0,2.0,53.0
0,Ready To Move,Hoodi,2 BHK,1247,2.0,0.0,53.0
3,19-Dec,Domlur Layout,3 BHK,2000,3.0,2.0,200.0
3,18-Jul,Balagere,2 BHK,1020.07,2.0,1.0,68.38
3,19-Dec,Gunjur Palya,3 BHK,1033,2.0,2.0,32.0
0,Ready To Move,B Narayanapura,3 BHK,1460,2.0,3.0,73.0
3,Ready To Move,Garudachar Palya,2 BHK,1150,2.0,2.0,52.8
3,Ready To Move,Sarjapur  Road,5 BHK,5965,5.0,2.0,385.0
3,Ready To Move,Babusapalaya,2 BHK,1141,2.0,1.0,46.0
3,Ready To Move,Yelahanka,4 BHK,2806 - 3019,6.0,0.0,125.5
2,Ready To Move,Doddaballapur,4 Bedroom,4200,4.0,3.0,325.0
3,18-Jul,Hosa Road,3 BHK,1665,2.0,3.0,125.0
3,18-Dec,Kanakapura,2 BHK,1295,2.0,2.0,64.0
3,18-Aug,Haralur Road,2 BHK,1230,2.0,1.0,78.0
3,Ready To Move,Anand Nagar,3 BHK,1080,2.0,2.0,75.0
3,Ready To Move,Kaggalipura,2 BHK,1000,2.0,1.0,60.0
3,Ready To Move,Kaval Byrasandra,3 BHK,2400,2.0,0.0,50.0
3,19-Dec,Whitefield,1 BHK,613 - 648,1.0,0.0,32.79
3,18-May,Rayasandra,3 BHK,1708,3.0,2.0,75.0
3,Ready To Move,Thanisandra,3 BHK,1697,3.0,2.0,115.0
3,Ready To Move,Whitefield,4 BHK,3537,5.0,3.0,210.0
3,19-Mar,Hosa Road,1 BHK,615,1.0,1.0,28.29
0,Ready To Move,Banashankari,3 BHK,1350,2.0,0.0,83.0
3,Ready To Move,Kanakpura Road,3 BHK,1430 - 1630,2.0,2.0,66.4
3,19-Dec,Jalahalli,2 BHK,1083,2.0,1.0,32.49
3,Ready To Move,Gottigere,3 BHK,1460,2.0,2.0,65.0
3,Ready To Move,Babusapalaya,2 BHK,1084,2.0,1.0,58.0
3,18-May,Bommasandra,2 BHK,1035,2.0,1.0,41.43
3,Ready To Move,Vijaya Bank Layout,3 BHK,2400,2.0,1.0,150.0
3,Ready To Move,Hosur Road,1 BHK,460,1.0,1.0,21.0
3,Ready To Move,Narayanappa Layout,5 BHK,950,5.0,2.0,90.0
3,Ready To Move,Whitefield,2 BHK,1285,2.0,2.0,55.9
3,Ready To Move,1Hanuman Nagar,19 BHK,2000,16.0,2.0,490.0
2,Ready To Move,Sarjapur,3 Bedroom,1200,3.0,2.0,78.0
0,Ready To Move,Raghuvanahalli,2 BHK,1070,2.0,1.0,35.0
3,Ready To Move,Hegde Nagar,3 BHK,1801,3.0,2.0,140.0
3,18-Dec,Whitefield,3 BHK,1697,3.0,2.0,115.0
3,Ready To Move,AECS Layout,2 BHK,1199,2.0,2.0,65.0
3,Ready To Move,Iblur Village,3 BHK,2300,3.0,1.0,220.0
3,Ready To Move,Mysore Road,3 BHK,1340,2.0,3.0,64.31
3,Ready To Move,Marathahalli,4 BHK,3800,4.0,3.0,205.0
2,Ready To Move,Jigani,5 Bedroom,600,5.0,2.0,50.0
3,Ready To Move,Wilson Garden,2 BHK,1125,2.0,1.0,75.0
2,Ready To Move,Anandapura,2 Bedroom,1200,2.0,1.0,67.0
0,Ready To Move,Subramanyapura,2 BHK,1050,2.0,3.0,41.0
0,Ready To Move,Nagarbhavi,2 BHK,956,2.0,1.0,49.0
3,Ready To Move,Sarjapur,2 BHK,1000,2.0,2.0,30.0
0,Ready To Move,Dooravani Nagar,3 BHK,1596,3.0,0.0,95.0
2,Ready To Move,Kumbhena Agrahara,6 Bedroom,1200,5.0,1.0,150.0
3,19-Jul,Kanakpura Road,2 BHK,1296,2.0,3.0,89.06
2,Ready To Move,NS Palya,6 Bedroom,1200,7.0,2.0,170.0
0,Ready To Move,Challaghatta,3 BHK,1639,3.0,3.0,123.0
3,Ready To Move,Electronic City Phase II,2 BHK,1219,2.0,1.0,61.25
0,Ready To Move,Uttarahalli,3 BHK,1200,3.0,1.0,50.0
3,Ready To Move,Bannerghatta Road,2 BHK,1218,2.0,1.0,73.0
3,Ready To Move,Nyanappana Halli,2 BHK,920,2.0,3.0,37.0
3,Ready To Move,Yeshwanthpur,3 BHK,2559,3.0,2.0,141.0
3,22-Dec,2nd Phase Judicial Layout,1 BHK,525,1.0,1.0,26.0
3,18-Feb,Bannerghatta Road,3 BHK,1427,2.0,2.0,48.51
3,18-Apr,Kothannur,3 BHK,1270,3.0,2.0,45.0
0,Ready To Move,Ramagondanahalli,2 BHK,920,2.0,3.0,65.0
0,Ready To Move,Dommasandra,4 Bedroom,2700,3.0,2.0,68.0
3,Ready To Move,Indira Nagar 3rd Stage,3 BHK,1740,3.0,2.0,199.0
0,Ready To Move,Ramamurthy Nagar,3 BHK,1355,2.0,2.0,40.0
3,Ready To Move,Lingadheeranahalli,3 BHK,1530,2.0,2.0,90.0
1,Ready To Move,Gokula Extension,3 BHK,1372,2.0,1.0,90.0
3,Ready To Move,Nehru Nagar,4 BHK,2363,5.0,2.0,120.0
3,Ready To Move,Marathahalli,4 BHK,3895,4.0,3.0,220.0
3,20-Jun,Jakkur,3 BHK,1950,3.0,2.0,131.0
0,Ready To Move,Hoysalanagar,2 BHK,885,2.0,3.0,40.0
0,Ready To Move,Yelahanka,2 BHK,600,2.0,2.0,27.0
2,Ready To Move,Kumaraswami Layout,5 Bedroom,1270,4.0,1.0,128.0
2,Ready To Move,Vijayanagar,2 Bedroom,1380,2.0,0.0,225.0
3,Ready To Move,Kanakpura Road,2 BHK,1339,2.0,2.0,62.0
3,Ready To Move,Whitefield,2 BHK,1130,2.0,1.0,36.0
0,Ready To Move,Uttarahalli,2 BHK,1085,2.0,2.0,43.0
0,Ready To Move,Yeshwanthpur,3 BHK,1430,3.0,2.0,72.0
1,18-Dec,Bhoganhalli,4 BHK,1451.5,4.0,1.0,121.0
3,Ready To Move,Ramakrishnappa Layout,5 BHK,6200,5.0,2.0,720.0
3,Ready To Move,AGS Layout,3 BHK,1490,2.0,1.0,59.6
0,Ready To Move,Vishwanatha Nagenahalli,4 BHK,1650,4.0,0.0,99.0
3,Ready To Move,Bellandur,2 BHK,1286,2.0,2.0,57.0
0,Ready To Move,KR Garden,2 BHK,925,2.0,2.0,63.0
3,Ready To Move,Bellandur,4 BHK,3016,4.0,3.0,230.0
0,Ready To Move,Haralur Road,2 BHK,1000,2.0,2.0,44.0
3,Ready To Move,Whitefield,2 BHK,1215,2.0,2.0,39.0
2,Ready To Move,Kanakadasa Layout,4 Bedroom,1200,3.0,1.0,95.0
3,Ready To Move,Lakshminarayana Pura,2 BHK,1336,2.0,2.0,100.0
3,Ready To Move,Yeshwanthpur,1 BHK,673,1.0,1.0,36.85
2,Ready To Move,Anandapura,2 Bedroom,1200,2.0,1.0,58.0
2,Ready To Move,Lingarajapuram,6 Bedroom,600,7.0,2.0,63.0
3,Ready To Move,Malleshwaram,3 BHK,1600,3.0,3.0,160.0
2,Ready To Move,Mallathahalli,2 Bedroom,1200,2.0,0.0,79.0
2,Ready To Move,Indira Nagar,6 Bedroom,2480,4.0,1.0,750.0
3,18-Apr,Jayamahal Extension,3 BHK,2500,3.0,2.0,270.0
2,Ready To Move,Devanahalli,5 Bedroom,2400,5.0,3.0,100.0
3,Ready To Move,Sector 2 HSR Layout,2 BHK,1143,2.0,2.0,65.0
3,Ready To Move,Kanakpura Road,2 BHK,1470,2.0,2.0,61.74
2,Ready To Move,Laxminarayana Layout,4 Bedroom,1584,3.0,2.0,145.0
3,Ready To Move,Marathahalli,3 BHK,1785,3.0,2.0,94.0
3,Ready To Move,Koramangala,3 BHK,2292,3.0,2.0,286.0
3,Ready To Move,Kothanur,3 BHK,1460,3.0,3.0,71.0
3,Ready To Move,Kasturi Nagar,3 BHK,1500,2.0,3.0,80.0
2,Ready To Move,Yelahanka,5 Bedroom,1200,4.0,1.0,140.0
0,Ready To Move,Sanjay nagar,5 BHK,3300,3.0,2.0,250.0
3,Ready To Move,Chikkalasandra,2 BHK,1230,2.0,2.0,48.0
3,Ready To Move,Yelahanka New Town,1 BHK,650,1.0,1.0,20.0
3,Ready To Move,Benson Town,2 BHK,1480,2.0,2.0,120.0
3,Ready To Move,Thanisandra,2 BHK,1220,2.0,1.0,43.92
3,Ready To Move,Dooravani Nagar,3 BHK,1570,3.0,1.0,115.0
0,Ready To Move,Sadashiva Nagar,3 BHK,3000,3.0,3.0,400.0
3,Ready To Move,Mallasandra,3 BHK,1665,3.0,2.0,86.91
2,Ready To Move,Banagiri Nagar,3 Bedroom,1350,3.0,1.0,380.0
2,Ready To Move,Sarjapur  Road,4 Bedroom,4000,5.0,2.0,600.0
2,Ready To Move,Ramamurthy Nagar,2 Bedroom,1100,2.0,0.0,68.0
3,Ready To Move,Kathriguppe,3 BHK,1350,2.0,1.0,87.01
0,Ready To Move,Kasavanhalli,3 BHK,1719,3.0,2.0,116.0
3,Ready To Move,Budigere,1 BHK,664,1.0,1.0,35.0
3,18-Dec,Sonnenahalli,2 BHK,1011,2.0,1.0,50.53
0,Ready To Move,Akshya Nagar,6 Bedroom,2400,6.0,0.0,130.0
3,Ready To Move,Basaveshwara Nagar Yelahanka,3 BHK,1680,3.0,2.0,85.0
3,Ready To Move,Yeshwanthpur,2 BHK,704 - 730,2.0,0.0,49.475
2,Ready To Move,Thyagaraja Nagar,4 Bedroom,700,4.0,2.0,110.0
3,Ready To Move,Whitefield,3 BHK,1520,2.0,2.0,150.0
1,Ready To Move,Uttarahalli,3 BHK,1350,2.0,2.0,53.0
3,15-Nov,Kothanur,3 BHK,1760,3.0,2.0,150.0
3,Ready To Move,Pattandur Agrahara,2 BHK,875,2.0,1.0,33.0
3,Ready To Move,Hennur,2 BHK,1231,2.0,2.0,48.0
3,Ready To Move,Somasundara Palya,2 BHK,1174,2.0,3.0,74.0
0,Ready To Move,Munnekollal,3 BHK,1560,3.0,3.0,75.0
3,Ready To Move,HOSUR MAIN ROAD,2 BHK,1464,2.0,2.0,56.0
2,Ready To Move,Kanakpura Road,3 Bedroom,2200,3.0,2.0,130.0
0,Ready To Move,Shivaji Nagar,2 BHK,850,2.0,2.0,55.0
0,Ready To Move,Sahyadri Layout,3 BHK,1750,3.0,1.0,180.0
3,Ready To Move,1st Phase JP Nagar,3 BHK,2024,3.0,2.0,157.0
2,Ready To Move,Mathikere SBM colony,2 Bedroom,1500,1.0,0.0,160.0
2,Ready To Move,"white field,kadugodi",6 Bedroom,2100,6.0,2.0,275.0
3,Ready To Move,Kodihalli,3 BHK,2408,4.0,2.0,260.0
3,Ready To Move,Devanahalli,2 BHK,1080,2.0,1.0,44.0
3,Ready To Move,Indira Nagar,3 BHK,2070,3.0,2.0,225.0
0,18-Dec,Electronic City,2 BHK,1020,2.0,1.0,29.46
3,Ready To Move,Begur Road,3 BHK,1500,2.0,3.0,55.0
2,Ready To Move,Mahalakshmi Layout,4 Bedroom,1575,5.0,1.0,158.0
2,Ready To Move,Kodichikkanahalli,4 Bedroom,3250,4.0,1.0,180.0
3,Ready To Move,Uttarahalli,2 BHK,1175,2.0,1.0,47.0
3,Ready To Move,Channasandra,2 BHK,1030,2.0,1.0,34.5
3,18-Jul,Hebbal,2 BHK,1440,2.0,1.0,115.0
0,Ready To Move,Hoodi,2 BHK,1500,2.0,1.0,84.0
2,Ready To Move,Thanisandra,1 Bedroom,1380,1.0,1.0,62.1
0,Ready To Move,Bagalur,2 BHK,1200,2.0,3.0,50.0
0,Ready To Move,Vinayak Nagar,1 BHK,705,1.0,2.0,36.5
